Global_ID,MTR_ADJ,mtr,GDD,plot,rng,pas,entry,horizontal,ibloc,rep,name,identity1,pedigree1,source,selection,v_desc,location,year,expt,harvester,f_pedigree,m_pedigree,fname,mname,pass,planter,loccode,endplot,plotwt,cwt_a,moist,flwr,ht,ldg,,ds,cwtacre,notes,sdwt2
21191001,41,91,19.04333333,1001,1,1,20,0,1,1,B20597,NA,B16506/B15430,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,HURON,2021,2119,1,B11363//Alpena*/B09197,Zenith/B12721,B16506,B15430,1,1,HUR,0,1995.69,35.55,13.9,47,52,2,,5,3544,NA,19.3
21191002,40,90,19.11348315,1002,1,2,17,0,1,1,I21901,NIMBUS,"BL14500, NIMBUS",PROVITA,NA,BLK,HURON,2021,2119,24,NA,NA,NA,NA,1,2,HUR,0,1900.23,33.65,14.4,48,51,1,,5,3355,cbb,19.93
21191003,40,90,19.11348315,1003,1,3,24,0,1,1,B20532,NA,B15430/B16504,18B217-08-02,19-20T616,18A0217-18L216-18-19T506-19T1226-19-20T616,HURON,2021,2119,25,Zenith/B12721,Zenith//Alpena*/B09197,B15430,B16504,1,3,HUR,0,1827.49,32.51,14,48,45,1,,4,3242,NA,21.4
21191004,40,90,19.11348315,1004,1,4,10,0,1,1,B04554,ZORRO,"B00103*/X00822, ZORRO",01B008 -04-01-06,NA,NA,HURON,2021,2119,48,NA,NA,NA,NA,1,4,HUR,0,1604.74,28.62,13.8,47,45,1,,4,2853,NA,20.35
21191005,41,91,19.04333333,1005,1,5,35,0,1,1,B20621,NA,B17106/N14218,18B280-01-05,19-20T855,18A0280-18L274-18-19T827-19T1390-19-20T855,HURON,2021,2119,49,B14302/B13218,N11256/N11298,B17106,N14218,1,5,HUR,0,1618.38,28.83,13.9,48,43,1,,4,2874,NA,16.78
21191006,43,93,18.96086957,1006,1,6,8,0,1,1,I17501,BLACK BEAR,"Jaguar/BL05222, BLACK BEAR","Provita, BL12576",NA,black,HURON,2021,2119,72,NA,NA,NA,NA,1,6,HUR,0,1368.35,24.26,14.3,45,47,2,,4,2418,NA,18.88
21191007,39,89,19.15,1007,2,1,18,0,2,1,B20599,NA,B16506/B15430,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,HURON,2021,2119,2,B11363//Alpena*/B09197,Zenith/B12721,B16506,B15430,2,14,HUR,0,2623.04,46.5,14.3,46,50,1,,4,4636,NA,20.98
21191008,42,92,18.96263736,1008,2,2,15,0,2,1,B19332,NA,B16501/B15464,17B238-02-02,18-19T1098,17A0238-17L253-17-18T732-18T1262-18-19T1098,HURON,2021,2119,23,Zenith/B10215,B12709/B12721,B16501,B15464,2,13,HUR,0,1968.42,34.94,14.2,46,46,2,,4,3483,NA,18.46
21191009,38,88,19.18390805,1009,2,3,32,0,2,1,B20582,NA,B16504/B17523,18B240-06-02,19-20T745,18A0240-18L236-18-19T651-19T1303-19-20T745,HURON,2021,2119,26,Zenith//Alpena*/B09197,B14311/B10244,B16504,B17523,2,12,HUR,0,1822.95,32.28,14.4,47,45,1,,4,3218,NA,17.62
21191010,40,90,19.11348315,1010,2,4,30,0,2,1,B20536,NA,B15430/B16504,18B217-10-02,19-20T626,18A0217-18L216-18-19T508-19T1228-19-20T626,HURON,2021,2119,47,Zenith/B12721,Zenith//Alpena*/B09197,B15430,B16504,2,11,HUR,0,2300.28,40.83,14.2,45,48,1,,5,4070,gp,22.02
21191011,42,92,18.96263736,1011,2,5,2,0,2,1,B18504,ADAMS,"Zenith//Alpena*/B09197, ADAMS",14B217-02-01-R,NA,14A0217-14L217-14-15T938-15T1117-15-16T41-R109,HURON,2021,2119,50,NA,NA,NA,NA,2,10,HUR,0,2363.92,41.91,14.3,47,46,1,,5,4178,cbb,20.35
21191012,40,90,19.11348315,1012,2,6,25,0,2,1,B20642,NA,B17730/B16504,18B330-02-02,19-20T909,18A0330-18L323-18-19T983-19T1456-19-20T909,HURON,2021,2119,71,B14311/B12724,Zenith//Alpena*/B09197,B17730,B16504,2,9,HUR,0,2009.33,35.62,14.3,44,49,1,,5,3551,cbb,19.09
21191013,39,89,19.15,1013,3,1,37,0,3,1,B20639,NA,B17730/B15430,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,HURON,2021,2119,3,B14311/B12724,Zenith/B12721,B17730,B15430,3,15,HUR,0,1536.55,27.4,13.8,46,52,2,,4,2732,NA,18.67
21191014,41,91,19.04333333,1014,3,2,22,0,3,1,B20549,NA,B16501/B16504,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,HURON,2021,2119,22,Zenith/B10215,Zenith//Alpena*/B09197,B16501,B16504,3,16,HUR,0,1636.56,29.29,13.5,44,48,1,,4,2920,NA,20.98
21191015,40,90,19.11348315,1015,3,3,11,0,3,1,B19339,NA,B16507/B15453,17B249-03-01,18-19T1109,17A0249-17L262-17-18T771-18T1270-18-19T1109,HURON,2021,2119,27,B12720/Zenith,B11371/B11363,B16507,B15453,3,17,HUR,0,1609.28,28.66,13.9,45,51,1,,4,2858,NA,20.56
21191016,36,86,19.28823529,1016,3,4,40,0,3,1,B20579,NA,B16504/B17259,18B238-01-01,19-20T739,18A0238-18L235-18-19T642-19T1297-19-20T739,HURON,2021,2119,46,Zenith//Alpena*/B09197,B10244/B12724,B16504,B17259,3,18,HUR,0,1813.85,32.5,13.4,44,49,1,,4,3240,"early parent, gdd",19.3
21191017,38,88,19.18390805,1017,3,5,38,0,3,1,B20623,NA,B17523/B16504,18B303-08-01,19-20T857,18A0303-18L296-18-19T900-19T1416-19-20T857,HURON,2021,2119,51,B14311/B10244,Zenith//Alpena*/B09197,B17523,B16504,3,19,HUR,0,1822.95,32.39,14.1,47,40,2,,4,3230,cbb,17.62
21191018,38,88,19.18390805,1018,3,6,9,0,3,1,B19340,NA,B16507/B15453,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,HURON,2021,2119,70,B12720/Zenith,B11371/B11363,B16507,B15453,3,20,HUR,0,1500.18,26.85,13.5,48,41,1,,4,2676,NA,23.7
21191019,38,88,19.18390805,1019,4,1,42,0,4,1,I19701,ND TWILIGHT,"NDF120287, ND TWILIGHT",NDSU,NA,BLK,HURON,2021,2119,4,NA,NA,NA,NA,4,28,HUR,0,1550.19,27.48,14.3,46,36,1,,4,2740,NA,20.98
21191020,36,86,19.28823529,1020,4,2,39,0,4,1,B20627,NA,B17540/N14218,18B319-03-01,19-20T874,18A0319-18L312-18-19T946-19T1439-19-20T874,HURON,2021,2119,21,B14311/B10244,N11256/N11298,B17540,N14218,4,27,HUR,0,1441.08,25.76,13.6,44,39,1,,4,2568,hcbb,19.51
21191021,40,90,19.11348315,1021,4,3,34,0,4,1,B20590,NA,B16505/B16504,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,HURON,2021,2119,28,B11363//Alpena*/B09197,Zenith//Alpena*/B09197,B16505,B16504,4,26,HUR,0,2250.27,40.04,14,46,47,1,,4,3992,NA,18.88
21191022,40,90,19.11348315,1022,4,4,21,0,4,1,B20547,NA,B16501/B16504,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,HURON,2021,2119,45,Zenith/B10215,Zenith//Alpena*/B09197,B16501,B16504,4,25,HUR,0,1972.96,35.06,14.1,47,43,1,,4,3496,NA,20.77
21191023,39,89,19.15,1023,4,5,13,0,4,1,B19341,NA,B16507/B16501,17B251-02-02,18-19T1117,17A0251-17L264-17-18T773-18T1271-18-19T1117,HURON,2021,2119,52,B12720/Zenith,Zenith/B10215,B16507,B16501,4,24,HUR,0,1686.57,30.15,13.6,46,43,1,,4,3005,NA,20.56
21191024,40,90,19.11348315,1024,4,6,27,0,4,1,B20620,NA,B17106/N14218,18B280-01-04,19-20T854,18A0280-18L274-18-19T827-19T1390-19-20T854,HURON,2021,2119,69,B14302/B13218,N11256/N11298,B17106,N14218,4,23,HUR,0,1331.98,23.73,13.9,46,38,1,,3,2366,NA,16.36
21191025,41,91,19.04333333,1025,5,1,41,0,5,1,B20616,NA,B17106/B17259,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,HURON,2021,2119,5,B14302/B13218,B10244/B12724,B17106,B17259,5,29,HUR,0,1600.19,28.44,14.1,44,46,1,,5,2835,NA,18.25
21191026,44,94,18.91827957,1026,5,2,31,0,5,1,B20527,NA,B14302/B15430,18B211-06-02,19-20T600,18A0211-18L210-18-19T473-19T1210-19-20T600,HURON,2021,2119,20,B09197/B11334,Zenith/B12721,B14302,B15430,5,30,HUR,0,1968.42,35.26,13.4,47,45,2,,4,3516,NA,19.93
21191027,42,92,18.96263736,1027,5,3,6,0,5,1,B19345,NA,B16506/B16507,17B247-01-05,18-19T1122,17A0247-17L268-17-18T786-18T1277-18-19T1122,HURON,2021,2119,29,B11363//Alpena*/B09197,B12720/Zenith,B16506,B16507,5,31,HUR,0,1582.01,28.21,13.8,46,51,1,,4,2812,hcbb,18.88
21191028,40,90,19.11348315,1028,5,4,28,0,5,1,B20629,NA,B17692/B16504,18B326-01-01,19-20T880,18A0326-18L319-18-19T951-19T1441-19-20T880,HURON,2021,2119,44,B14311/B12724,Zenith//Alpena*/B09197,B17692,B16504,5,32,HUR,0,1513.82,27.15,13.3,48,53,2,,4,2707,cbb,18.25
21191029,40,90,19.11348315,1029,5,5,33,0,5,1,B20632,NA,B17692/B16504,18B326-10-02,19-20T884,18A0326-18L319-18-19T960-19T1446-19-20T884,HURON,2021,2119,53,B14311/B12724,Zenith//Alpena*/B09197,B17692,B16504,5,33,HUR,0,2091.16,37.03,14.4,48,52,1,,4,3691,NA,18.88
21191030,44,94,18.91827957,1030,5,6,3,0,5,1,B19344,NA,B16506/B16507,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,HURON,2021,2119,68,B11363//Alpena*/B09197,B12720/Zenith,B16506,B16507,5,34,HUR,0,1768.39,31.57,13.7,46,53,1,,4,3148,NA,19.3
21191031,36,86,19.28823529,1031,6,1,12,0,6,1,I03390,ECLIPSE,"ND9902621-2, ECLIPSE",ND9902621-2,NA,NA,HURON,2021,2119,6,NA,NA,NA,NA,6,42,HUR,0,1463.81,26.32,13.1,44,41,2,,4,2624,NA,18.25
21191032,38,88,19.18390805,1032,6,2,29,0,6,1,B20542,NA,B16501/B15430,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,HURON,2021,2119,19,Zenith/B10215,Zenith/B12721,B16501,B15430,6,41,HUR,0,1895.68,34.08,13.1,46,46,1,,5,3398,looks good,20.98
21191033,40,90,19.11348315,1033,6,3,19,0,6,1,B20591,NA,B16505/B16504,18B252-06-02,19-20T788,18A0252-18L248-18-19T727-19T1341-19-20T788,HURON,2021,2119,30,B11363//Alpena*/B09197,Zenith//Alpena*/B09197,B16505,B16504,6,40,HUR,0,2300.28,41.21,13.4,46,51,1,,5,4108,NA,20.98
21191034,40,90,19.11348315,1034,6,4,26,0,6,1,B20617,NA,B17106/N14218,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,HURON,2021,2119,43,B14302/B13218,N11256/N11298,B17106,N14218,6,39,HUR,0,1609.28,28.8,13.5,45,45,1,,4,2871,NA,17.83
21191035,43,93,18.96086957,1035,6,5,36,0,6,1,B20538,NA,B15430/B16504,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,HURON,2021,2119,54,Zenith/B12721,Zenith//Alpena*/B09197,B15430,B16504,6,38,HUR,0,2195.72,39.25,13.6,47,47,2,,4,3912,NA,22.02
21191036,43,93,18.96086957,1036,6,6,4,0,6,1,B19330,NA,B16501/B15414,17B236-04-01,18-19T1094,17A0236-17L251-17-18T722-18T1261-18-19T1094,HURON,2021,2119,67,Zenith/B10215,B09175/B11611,B16501,B15414,6,37,HUR,0,1845.68,32.91,13.8,47,48,2,,4,3281,NA,21.4
21191037,42,92,18.96263736,1037,1,7,5,0,7,1,B10244,ZENITH,"B04644/ZORRO, ZENITH",08B118 -02-02,NA,NA,HURON,2021,2119,73,NA,NA,NA,NA,1,7,HUR,0,1913.87,34.17,13.7,47,43,3,,7,3407,NA,22.02
21191038,39,89,19.15,1038,2,7,1,0,7,1,B19309,NA,B15414/B16504,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,HURON,2021,2119,74,B09175/B11611,Zenith//Alpena*/B09197,B15414,B16504,2,8,HUR,0,2309.37,41.04,14.1,47,46,1,,5,4092,gdd,19.3
21191039,41,91,19.04333333,1039,3,7,14,0,7,1,B18236,NA,B14303/B12724,15B311-03-03,17-18T865,15A1051-16L245-16-17T312-17T1248-17-18T865,HURON,2021,2119,75,B09197/B11334,B09184/B09135,B14303,B12724,3,21,HUR,0,1686.57,30.22,13.4,46,42,1,,4,3012,NA,18.25
21191040,42,92,18.96263736,1040,4,7,16,0,7,1,I19703,BLACK BEARD,"BL14506, BLACK BEARD","Provita, BL14506",NA,BLK,HURON,2021,2119,76,NA,NA,NA,NA,4,22,HUR,0,1213.78,21.64,13.8,47,45,1,,3,2158,cbb,21.19
21191041,44,94,18.91827957,1041,5,7,7,0,7,1,B16504,NA,Zenith//Alpena*/B09197,14B217-02-01,15-16T41,14A0217-14L217-14-15T938-15T1117-15-16T41,HURON,2021,2119,77,"B04644/ZORRO, ZENITH","N11283*/B09197, 13T1621",B10244,X13018,5,35,HUR,0,2118.44,37.69,14,46,51,1,,4,3758,NA,18.67
21191042,41,91,19.04333333,1042,6,7,23,0,7,1,B20602,NA,B16506/B16504,18B262-05-02,19-20T827,18A0262-18L258-18-19T781-19T1366-19-20T827,HURON,2021,2119,78,B11363//Alpena*/B09197,Zenith//Alpena*/B09197,B16506,B16504,6,36,HUR,0,2291.18,41.09,13.3,47,47,1,,5,4097,NA,24.12
21192001,41,91,19.04333333,2001,7,1,40,0,1,2,B20579,NA,B16504/B17259,18B238-01-01,19-20T739,18A0238-18L235-18-19T642-19T1297-19-20T739,HURON,2021,2119,7,Zenith//Alpena*/B09197,B10244/B12724,B16504,B17259,7,43,HUR,0,1977.51,35.39,13.5,45,55,2,,4,3528,NA,19.61
21192002,39,89,19.15,2002,7,2,26,0,1,2,B20617,NA,B17106/N14218,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,HURON,2021,2119,18,B14302/B13218,N11256/N11298,B17106,N14218,7,44,HUR,0,1563.82,27.92,13.7,47,48,1,,4,2784,hcbb,18.25
21192003,40,90,19.11348315,2003,7,3,10,0,1,2,B04554,ZORRO,"B00103*/X00822, ZORRO",01B008 -04-01-06,NA,NA,HURON,2021,2119,31,NA,NA,NA,NA,7,45,HUR,0,1900.23,33.93,13.7,47,55,2,,4,3383,NA,20.24
21192004,44,94,18.91827957,2004,7,4,2,0,1,2,B18504,ADAMS,"Zenith//Alpena*/B09197, ADAMS",14B217-02-01-R,NA,14A0217-14L217-14-15T938-15T1117-15-16T41-R109,HURON,2021,2119,42,NA,NA,NA,NA,7,46,HUR,0,1945.69,34.62,14,47,54,3,,3,3450,NA,20.56
21192005,39,89,19.15,2005,7,5,33,0,1,2,B20632,NA,B17692/B16504,18B326-10-02,19-20T884,18A0326-18L319-18-19T960-19T1446-19-20T884,HURON,2021,2119,55,B14311/B12724,Zenith//Alpena*/B09197,B17692,B16504,7,47,HUR,0,1895.68,33.57,14.4,47,55,1,,4,3347,NA,19.19
21192006,44,94,18.91827957,2006,7,6,16,0,1,2,I19703,BLACK BEARD,"BL14506, BLACK BEARD","Provita, BL14506",NA,BLK,HURON,2021,2119,66,NA,NA,NA,NA,7,48,HUR,0,1909.32,34.09,13.7,48,56,3,,3,3398,wm,21.4
21192007,41,91,19.04333333,2007,8,1,14,0,2,2,B18236,NA,B14303/B12724,15B311-03-03,17-18T865,15A1051-16L245-16-17T312-17T1248-17-18T865,HURON,2021,2119,8,B09197/B11334,B09184/B09135,B14303,B12724,8,56,HUR,0,1941.14,34.58,13.9,47,47,1,,4,3447,NA,18.56
21192008,40,90,19.11348315,2008,8,2,24,0,2,2,B20532,NA,B15430/B16504,18B217-08-02,19-20T616,18A0217-18L216-18-19T506-19T1226-19-20T616,HURON,2021,2119,17,Zenith/B12721,Zenith//Alpena*/B09197,B15430,B16504,8,55,HUR,0,2354.83,41.75,14.3,47,50,1,,4,4162,cbb,21.6
21192009,39,89,19.15,2009,8,3,30,0,2,2,B20536,NA,B15430/B16504,18B217-10-02,19-20T626,18A0217-18L216-18-19T508-19T1228-19-20T626,HURON,2021,2119,32,Zenith/B12721,Zenith//Alpena*/B09197,B15430,B16504,8,54,HUR,0,2445.75,43.82,13.4,48,56,1,,6,4368,gp,22.34
21192010,39,89,19.15,2010,8,4,13,0,2,2,B19341,NA,B16507/B16501,17B251-02-02,18-19T1117,17A0251-17L264-17-18T773-18T1271-18-19T1117,HURON,2021,2119,41,B12720/Zenith,Zenith/B10215,B16507,B16501,8,53,HUR,0,2072.98,37.01,13.7,46,43,1,,4,3690,NA,20.56
21192011,43,93,18.96086957,2011,8,5,28,0,2,2,B20629,NA,B17692/B16504,18B326-01-01,19-20T880,18A0326-18L319-18-19T951-19T1441-19-20T880,HURON,2021,2119,56,B14311/B12724,Zenith//Alpena*/B09197,B17692,B16504,8,52,HUR,0,1850.22,33.19,13.3,47,58,1,,4,3308,hcbb,18.46
21192012,42,92,18.96263736,2012,8,6,36,0,2,2,B20538,NA,B15430/B16504,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,HURON,2021,2119,65,Zenith/B12721,Zenith//Alpena*/B09197,B15430,B16504,8,51,HUR,0,1959.33,35.06,13.5,47,50,2,,4,3496,cbb,22.34
21192013,39,89,19.15,2013,9,1,25,0,3,2,B20642,NA,B17730/B16504,18B330-02-02,19-20T909,18A0330-18L323-18-19T983-19T1456-19-20T909,HURON,2021,2119,9,B14311/B12724,Zenith//Alpena*/B09197,B17730,B16504,9,57,HUR,0,2059.34,36.6,14.1,47,50,1,,5,3649,gp,19.51
21192014,38,88,19.18390805,2014,9,2,27,0,3,2,B20620,NA,B17106/N14218,18B280-01-04,19-20T854,18A0280-18L274-18-19T827-19T1390-19-20T854,HURON,2021,2119,16,B14302/B13218,N11256/N11298,B17106,N14218,9,58,HUR,0,1809.31,32.19,14,47,40,1,,4,3209,hcbb,16.78
21192015,38,88,19.18390805,2015,9,3,4,0,3,2,B19330,NA,B16501/B15414,17B236-04-01,18-19T1094,17A0236-17L251-17-18T722-18T1261-18-19T1094,HURON,2021,2119,33,Zenith/B10215,B09175/B11611,B16501,B15414,9,59,HUR,0,2054.79,36.64,13.8,46,41,1,,4,3653,NA,21.19
21192016,40,90,19.11348315,2016,9,4,11,0,3,2,B19339,NA,B16507/B15453,17B249-03-01,18-19T1109,17A0249-17L262-17-18T771-18T1270-18-19T1109,HURON,2021,2119,40,B12720/Zenith,B11371/B11363,B16507,B15453,9,60,HUR,0,2041.15,36.44,13.7,48,42,1,,4,3633,NA,20.35
21192017,40,90,19.11348315,2017,9,5,31,0,3,2,B20527,NA,B14302/B15430,18B211-06-02,19-20T600,18A0211-18L210-18-19T473-19T1210-19-20T600,HURON,2021,2119,57,B09197/B11334,Zenith/B12721,B14302,B15430,9,61,HUR,0,2168.44,38.89,13.3,46,45,2,,4,3877,NA,20.24
21192018,37,87,19.26511628,2018,9,6,23,0,3,2,B20602,NA,B16506/B16504,18B262-05-02,19-20T827,18A0262-18L258-18-19T781-19T1366-19-20T827,HURON,2021,2119,64,B11363//Alpena*/B09197,Zenith//Alpena*/B09197,B16506,B16504,9,62,HUR,0,1977.51,35.63,12.9,45,38,1,,4,3552,cleaner,23.91
21192019,37,87,19.26511628,2019,10,1,35,0,4,2,B20621,NA,B17106/N14218,18B280-01-05,19-20T855,18A0280-18L274-18-19T827-19T1390-19-20T855,HURON,2021,2119,10,B14302/B13218,N11256/N11298,B17106,N14218,10,70,HUR,0,1477.45,26.26,14.1,45,50,2,,4,2618,hcbb,17.2
21192020,42,92,18.96263736,2020,10,2,34,0,4,2,B20590,NA,B16505/B16504,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,HURON,2021,2119,15,B11363//Alpena*/B09197,Zenith//Alpena*/B09197,B16505,B16504,10,69,HUR,0,2291.18,40.76,14,47,57,1,,4,4064,straw,19.09
21192021,39,89,19.15,2021,10,3,41,0,4,2,B20616,NA,B17106/B17259,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,HURON,2021,2119,34,B14302/B13218,B10244/B12724,B17106,B17259,10,68,HUR,0,1913.87,34.21,13.6,47,47,1,,5,3411,NA,18.56
21192022,36,86,19.28823529,2022,10,4,22,0,4,2,B20549,NA,B16501/B16504,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,HURON,2021,2119,39,Zenith/B10215,Zenith//Alpena*/B09197,B16501,B16504,10,67,HUR,0,1745.66,31.42,13,46,43,1,,4,3132,wm,21.19
21192023,39,89,19.15,2023,10,5,1,0,4,2,B19309,NA,B15414/B16504,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,HURON,2021,2119,58,B09175/B11611,Zenith//Alpena*/B09197,B15414,B16504,10,66,HUR,0,2204.81,39.27,13.9,46,49,1,,5,3915,NA,19.51
21192024,38,88,19.18390805,2024,10,6,15,0,4,2,B19332,NA,B16501/B15464,17B238-02-02,18-19T1098,17A0238-17L253-17-18T732-18T1262-18-19T1098,HURON,2021,2119,63,Zenith/B10215,B12709/B12721,B16501,B15464,10,65,HUR,0,1918.41,34.21,13.8,46,44,2,,4,3410,"hcbb,wm",18.77
21192025,38,88,19.18390805,2025,11,1,6,0,5,2,B19345,NA,B16506/B16507,17B247-01-05,18-19T1122,17A0247-17L268-17-18T786-18T1277-18-19T1122,HURON,2021,2119,11,B11363//Alpena*/B09197,B12720/Zenith,B16506,B16507,11,71,HUR,0,1759.3,31.37,13.8,45,46,2,,4,3127,cbb,19.09
21192026,39,89,19.15,2026,11,2,18,0,5,2,B20599,NA,B16506/B15430,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,HURON,2021,2119,14,B11363//Alpena*/B09197,Zenith/B12721,B16506,B15430,11,72,HUR,0,2318.46,41.15,14.2,47,56,1,,6,4103,"strawy, gp",21.19
21192027,40,90,19.11348315,2027,11,3,38,0,5,2,B20623,NA,B17523/B16504,18B303-08-01,19-20T857,18A0303-18L296-18-19T900-19T1416-19-20T857,HURON,2021,2119,35,B14311/B10244,Zenith//Alpena*/B09197,B17523,B16504,11,73,HUR,0,1972.96,35.14,13.9,46,50,1,,4,3504,cbb. wm,17.83
21192028,39,89,19.15,2028,11,4,20,0,5,2,B20597,NA,B16506/B15430,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,HURON,2021,2119,38,B11363//Alpena*/B09197,Zenith/B12721,B16506,B15430,11,74,HUR,0,2022.97,36.16,13.6,46,46,2,,4,3605,strawy,19.51
21192029,35,85,19.32380952,2029,11,5,12,0,5,2,I03390,ECLIPSE,"ND9902621-2, ECLIPSE",ND9902621-2,NA,NA,HURON,2021,2119,59,NA,NA,NA,NA,11,75,HUR,0,1863.86,33.58,12.9,46,44,3,,3,3348,"hcbb, wm",18.46
21192030,35,85,19.32380952,2030,11,6,42,0,5,2,I19701,ND TWILIGHT,"NDF120287, ND TWILIGHT",NDSU,NA,BLK,HURON,2021,2119,62,NA,NA,NA,NA,11,76,HUR,0,1545.64,27.53,13.9,47,40,3,,3,2745,"height affected due to loding, hcbb,wm",21.29
21192031,43,93,18.96086957,2031,12,1,39,0,6,2,B20627,NA,B17540/N14218,18B319-03-01,19-20T874,18A0319-18L312-18-19T946-19T1439-19-20T874,HURON,2021,2119,12,B14311/B10244,N11256/N11298,B17540,N14218,12,84,HUR,0,1436.54,25.83,13.1,45,48,2,,4,2574,"cbb, wm",19.82
21192032,39,89,19.15,2032,12,2,37,0,6,2,B20639,NA,B17730/B15430,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,HURON,2021,2119,13,B14311/B12724,Zenith/B12721,B17730,B15430,12,83,HUR,0,1463.81,26.13,13.7,47,51,3,,3,2606,"cbb, wm  weak knees",18.98
21192033,41,91,19.04333333,2033,12,3,29,0,6,2,B20542,NA,B16501/B15430,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,HURON,2021,2119,36,Zenith/B10215,Zenith/B12721,B16501,B15430,12,82,HUR,0,1750.21,31.54,12.9,46,48,2,,4,3144,NA,21.29
21192034,43,93,18.96086957,2034,12,4,7,0,6,2,B16504,NA,Zenith//Alpena*/B09197,14B217-02-01,15-16T41,14A0217-14L217-14-15T938-15T1117-15-16T41,HURON,2021,2119,37,"B04644/ZORRO, ZENITH","N11283*/B09197, 13T1621",B10244,X13018,12,81,HUR,0,2204.81,39.23,14,46,40,4,,3,3911,weak knees,18.77
21192035,40,90,19.11348315,2035,12,5,8,0,6,2,I17501,BLACK BEAR,"Jaguar/BL05222, BLACK BEAR","Provita, BL12576",NA,black,HURON,2021,2119,60,NA,NA,NA,NA,12,80,HUR,0,1750.21,31.1,14.1,47,48,2,,3,3101,severe wm,19.09
21192036,38,88,19.18390805,2036,12,6,32,0,6,2,B20582,NA,B16504/B17523,18B240-06-02,19-20T745,18A0240-18L236-18-19T651-19T1303-19-20T745,HURON,2021,2119,61,Zenith//Alpena*/B09197,B14311/B10244,B16504,B17523,12,79,HUR,0,1772.94,31.47,14.2,47,49,2,,3,3137,cbb,18.04
21192037,44,94,18.91827957,2037,7,7,19,0,7,2,B20591,NA,B16505/B16504,18B252-06-02,19-20T788,18A0252-18L248-18-19T727-19T1341-19-20T788,HURON,2021,2119,79,B11363//Alpena*/B09197,Zenith//Alpena*/B09197,B16505,B16504,7,49,HUR,0,2218.45,39.79,13.3,47,53,1,,4,3967,NA,21.29
21192038,40,90,19.11348315,2038,8,7,9,0,7,2,B19340,NA,B16507/B15453,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,HURON,2021,2119,80,B12720/Zenith,B11371/B11363,B16507,B15453,8,50,HUR,0,2063.88,36.93,13.5,47,48,1,,4,3682,will look good,23.49
21192039,41,91,19.04333333,2039,9,7,5,0,7,2,B10244,ZENITH,"B04644/ZORRO, ZENITH",08B118 -02-02,NA,NA,HURON,2021,2119,81,NA,NA,NA,NA,9,63,HUR,0,2304.82,41.29,13.4,47,48,1,,4,4117,NA,22.23
21192040,40,90,19.11348315,2040,10,7,17,0,7,2,I21901,NIMBUS,"BL14500, NIMBUS",PROVITA,NA,BLK,HURON,2021,2119,82,NA,NA,NA,NA,10,64,HUR,0,1945.69,34.62,14,47,47,1,,4,3450,cbb,20.45
21192041,39,89,19.15,2041,11,7,3,0,7,2,B19344,NA,B16506/B16507,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,HURON,2021,2119,83,B11363//Alpena*/B09197,B12720/Zenith,B16506,B16507,11,77,HUR,0,1841.13,32.79,13.9,47,50,2,,4,3270,NA,19.51
21192042,39,89,19.15,2042,12,7,21,0,7,2,B20547,NA,B16501/B16504,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,HURON,2021,2119,84,Zenith/B10215,Zenith//Alpena*/B09197,B16501,B16504,12,78,HUR,0,2532.12,45.26,13.6,47,51,1,,5,4512,NA,20.98
