Global_ID,MTR_ADJ,Mtr,GDD,Global_ID2,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Experiment Name,Origin,Selection,Description1,Year,Location,Planter,Harvester,height,lodging,Maturity,DD,DS
22231001,37,90,19.35681818,2223_1001,1001,15,1,1,1,1,B19332,,B16501/B15464,2223,17B238-02-02,18-19T1098,17A0238-17L253-17-18T732-18T1262-18-19T1098,2022,HURON,1,1,41,1,9/6/2022,2,5
22231002,35,88,19.46627907,2223_1002,1002,35,1,1,1,2,B21720,,B16505/B16504,2223,18B252-06-05,20T2457,18A0252-18L248-18-19T727-19T1341-20T2457,2022,HURON,24,2,40,1,9/4/2022,2,6
22231003,37,90,19.35681818,2223_1003,1003,25,1,1,1,3,B21708,,B15430/B16504,2223,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,HURON,25,3,42,2,9/6/2022,2,4
22231004,36,89,19.3954023,2223_1004,1004,11,1,1,1,4,B20639,,B17730/B15430,2223,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,HURON,48,4,44,2,9/5/2022,2,4
22231005,37,90,19.35681818,2223_1005,1005,9,1,1,1,5,B20538,,B15430/B16504,2223,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,2022,HURON,49,5,42,2,9/6/2022,2,4
22231006,37,90,19.35681818,2223_1006,1006,27,1,1,1,6,B21712,,B16501/B16504,2223,18B228-03-05,20T2325,18A0228-18L225-18-19T575-19T1262-20T2325,2022,HURON,72,6,34,2,9/6/2022,2,4
22231012,38,91,19.28426966,2223_1012,1012,28,1,2,2,6,B21724,,B17996/B17540,2223,18B344-01-05,20T2585,18A0344-18L337-18-19T998-19T1463-20T2585,2022,HURON,71,55,34,2,9/7/2022,2,4
22231011,38,91,19.28426966,2223_1011,1011,16,1,2,2,5,B19340,,B16507/B15453,2223,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,HURON,50,56,38,1,9/7/2022,2,4
22231010,37,90,19.35681818,2223_1010,1010,7,1,2,2,4,B19344,,B16506/B16507,2223,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,2022,HURON,47,57,40,2,9/6/2022,2,4
22231009,35,88,19.46627907,2223_1009,1009,24,1,2,2,3,B21710,,B16501/B15430,2223,18B227-08-03,20T2317,18A0227-18L224-18-19T570-19T1259-20T2317,2022,HURON,26,58,39,2,9/4/2022,2,4
22231008,37,90,19.35681818,2223_1008,1008,22,1,2,2,2,I19703,BLACK BEARD,"BL14506, BLACK BEARD",2223,"Provita, BL14506",,BLK,2022,HURON,23,59,44,2,9/6/2022,2,5
22231007,36,89,19.3954023,2223_1007,1007,10,1,2,2,1,B20549,,B16501/B16504,2223,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,2022,HURON,2,60,35,1,9/5/2022,2,4
22231013,38,91,19.28426966,2223_1013,1013,30,1,3,3,1,B21717,,B16504/B17106,2223,18B236-07-02,20T2393,18A0236-18L233-18-19T628-19T1291-20T2393,2022,HURON,3,61,34,2,9/7/2022,2,3
22231014,35,88,19.46627907,2223_1014,1014,12,1,3,3,2,B20602,,B16506/B16504,2223,18B262-05-02,19-20T827,18A0262-18L258-18-19T781-19T1366-19-20T827,2022,HURON,22,62,33,2,9/4/2022,2,4
22231015,37,90,19.35681818,2223_1015,1015,14,1,3,3,3,B20617,,B17106/N14218,2223,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,HURON,27,63,35,2,9/6/2022,2,3
22231016,36,89,19.3954023,2223_1016,1016,31,1,3,3,4,B21707,,B15430/B16504,2223,18B217-09-04,20T2288,18A0217-18L216-18-19T507-19T1227-20T2288,2022,HURON,46,64,39,2,9/5/2022,2,6
22231017,35,88,19.46627907,2223_1017,1017,18,1,3,3,5,B20542,,B16501/B15430,2223,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,HURON,51,65,38,1,9/4/2022,2,5
22231018,36,89,19.3954023,2223_1018,1018,19,1,3,3,6,B20616,,B17106/B17259,2223,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,HURON,70,66,34,1,9/5/2022,2,4
22231024,36,89,19.3954023,2223_1024,1024,23,1,4,4,6,B04554,ZORRO,"B00103*/X00822, ZORRO",2223,01B008 -04-01-06,,,2022,HURON,69,115,35,1,9/5/2022,2,5
22231023,38,91,19.28426966,2223_1023,1023,29,1,4,4,5,B21713,,B16501/B16504,2223,18B228-06-03,20T2328,18A0228-18L225-18-19T578-19T1263-20T2328,2022,HURON,52,116,38,2,9/7/2022,2,5
22231022,35,88,19.46627907,2223_1022,1022,17,1,4,4,4,B10244,ZENITH,"B04644/ZORRO, ZENITH",2223,08B118 -02-02,,,2022,HURON,45,117,37,1,9/4/2022,2,5
22231021,35,88,19.46627907,2223_1021,1021,5,1,4,4,3,B20590,,B16505/B16504,2223,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,2022,HURON,28,118,38,2,9/4/2022,2,5
22231020,38,91,19.28426966,2223_1020,1020,13,1,4,4,2,B20532,,B15430/B16504,2223,18B217-08-02,19-20T616,18A0217-18L216-18-19T506-19T1226-19-20T616,2022,HURON,21,119,35,3,9/7/2022,3,4
22231019,38,91,19.28426966,2223_1019,1019,6,1,4,4,1,B19309,,B15414/B16504,2223,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,2022,HURON,4,120,29,3,9/7/2022,3,3
22231025,38,91,19.28426966,2223_1025,1025,36,1,5,5,1,B21705,,B14302/B15430,2223,18B211-05-07,20T2264,18A0211-18L210-18-19T472-19T1209-20T2264,2022,HURON,5,121,34,1,9/7/2022,2,4
22231026,35,88,19.46627907,2223_1026,1026,1,1,5,5,2,B20536,,B15430/B16504,2223,18B217-10-02,19-20T626,18A0217-18L216-18-19T508-19T1228-19-20T626,2022,HURON,20,122,34,2,9/4/2022,2,5
22231027,34,87,19.39764706,2223_1027,1027,3,1,5,5,3,B20591,,B16505/B16504,2223,18B252-06-02,19-20T788,18A0252-18L248-18-19T727-19T1341-19-20T788,2022,HURON,29,123,24,1,9/3/2022,2,5
22231028,36,89,19.3954023,2223_1028,1028,34,1,5,5,4,B21711,,B16501/B15430,2223,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,HURON,44,124,37,2,9/5/2022,2,6
22231029,37,90,19.35681818,2223_1029,1029,2,1,5,5,5,B20599,,B16506/B15430,2223,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,2022,HURON,53,125,42,2,9/6/2022,3,4
22231030,37,90,19.35681818,2223_1030,1030,32,1,5,5,6,B21706,,B15430/B16504,2223,18B217-07-06,20T2277,18A0217-18L216-18-19T505-19T1225-20T2277,2022,HURON,68,126,43,2,9/6/2022,1,4
22231036,38,91,19.28426966,2223_1036,1036,4,1,6,6,6,B18504,ADAMS,"Zenith//Alpena*/B09197, ADAMS",2223,14B217-02-01-R,,14A0217-14L217-14-15T938-15T1117-15-16T41-R109,2022,HURON,67,175,38,2,9/7/2022,4,4
22231035,39,92,19.21333333,2223_1035,1035,21,1,6,6,5,I21901,NIMBUS,"BL14500, NIMBUS",2223,PROVITA,,BLK,2022,HURON,54,176,41,2,9/8/2022,2,4
22231034,38,91,19.28426966,2223_1034,1034,26,1,6,6,4,B21714,,B16501/B16504,2223,18B228-07-05,20T2336,18A0228-18L225-18-19T579-19T1264-20T2336,2022,HURON,43,177,40,1,9/7/2022,2,5
22231033,39,92,19.21333333,2223_1033,1033,20,1,6,6,3,B20547,,B16501/B16504,2223,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,HURON,30,178,42,2,9/8/2022,2,4
22231032,38,91,19.28426966,2223_1032,1032,33,1,6,6,2,B21715,,B16501/B16504,2223,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,HURON,19,179,40,2,9/7/2022,2,5
22231031,35,88,19.46627907,2223_1031,1031,8,1,6,6,1,B20597,,B16506/B15430,2223,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,2022,HURON,6,180,36,2,9/4/2022,2,4
22232001,39,92,19.21333333,2223_2001,2001,22,2,1,7,1,I19703,BLACK BEARD,"BL14506, BLACK BEARD",2223,"Provita, BL14506",,BLK,2022,HURON,7,181,39,2,9/8/2022,3,4
22232002,39,92,19.21333333,2223_2002,2002,32,2,1,7,2,B21706,,B15430/B16504,2223,18B217-07-06,20T2277,18A0217-18L216-18-19T505-19T1225-20T2277,2022,HURON,18,182,41,2,9/8/2022,2,5
22232003,38,91,19.28426966,2223_2003,2003,27,2,1,7,3,B21712,,B16501/B16504,2223,18B228-03-05,20T2325,18A0228-18L225-18-19T575-19T1262-20T2325,2022,HURON,31,183,36,2,9/7/2022,2,4
22232004,38,91,19.28426966,2223_2004,2004,18,2,1,7,4,B20542,,B16501/B15430,2223,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,HURON,42,184,34,1,9/7/2022,2,4
22232005,38,91,19.28426966,2223_2005,2005,6,2,1,7,5,B19309,,B15414/B16504,2223,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,2022,HURON,55,185,35,1,9/7/2022,2,4
22232006,41,94,19.1576087,2223_2006,2006,21,2,1,7,6,I21901,NIMBUS,"BL14500, NIMBUS",2223,PROVITA,,BLK,2022,HURON,66,186,43,2,9/10/2022,3,4
22232012,37,90,19.35681818,2223_2012,2012,14,2,2,8,6,B20617,,B17106/N14218,2223,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,HURON,65,235,33,2,9/6/2022,2,4
22232011,35,88,19.46627907,2223_2011,2011,20,2,2,8,5,B20547,,B16501/B16504,2223,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,HURON,56,236,34,1,9/4/2022,2,4
22232010,36,89,19.3954023,2223_2010,2010,16,2,2,8,4,B19340,,B16507/B15453,2223,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,HURON,41,237,35,2,9/5/2022,2,4
22232009,39,92,19.21333333,2223_2009,2009,29,2,2,8,3,B21713,,B16501/B16504,2223,18B228-06-03,20T2328,18A0228-18L225-18-19T578-19T1263-20T2328,2022,HURON,32,238,41,2,9/8/2022,3,4
22232008,35,88,19.46627907,2223_2008,2008,34,2,2,8,2,B21711,,B16501/B15430,2223,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,HURON,17,239,40,1,9/4/2022,2,4
22232007,35,88,19.46627907,2223_2007,2007,35,2,2,8,1,B21720,,B16505/B16504,2223,18B252-06-05,20T2457,18A0252-18L248-18-19T727-19T1341-20T2457,2022,HURON,8,240,36,1,9/4/2022,2,4
22232013,37,90,19.35681818,2223_2013,2013,33,2,3,9,1,B21715,,B16501/B16504,2223,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,HURON,9,241,36,2,9/6/2022,2,5
22232014,38,91,19.28426966,2223_2014,2014,11,2,3,9,2,B20639,,B17730/B15430,2223,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,HURON,16,242,44,2,9/7/2022,2,5
22232015,38,91,19.28426966,2223_2015,2015,36,2,3,9,3,B21705,,B14302/B15430,2223,18B211-05-07,20T2264,18A0211-18L210-18-19T472-19T1209-20T2264,2022,HURON,33,243,35,1,9/7/2022,2,5
22232016,38,91,19.28426966,2223_2016,2016,17,2,3,9,4,B10244,ZENITH,"B04644/ZORRO, ZENITH",2223,08B118 -02-02,,,2022,HURON,40,244,41,2,9/7/2022,2,5
22232017,35,88,19.46627907,2223_2017,2017,31,2,3,9,5,B21707,,B15430/B16504,2223,18B217-09-04,20T2288,18A0217-18L216-18-19T507-19T1227-20T2288,2022,HURON,57,245,40,2,9/4/2022,2,6
22232018,35,88,19.46627907,2223_2018,2018,28,2,3,9,6,B21724,,B17996/B17540,2223,18B344-01-05,20T2585,18A0344-18L337-18-19T998-19T1463-20T2585,2022,HURON,64,246,44,2,9/4/2022,2,6
22232024,34,87,19.39764706,2223_2024,2024,19,2,4,10,6,B20616,,B17106/B17259,2223,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,HURON,63,295,44,1,9/3/2022,1,6
22232023,34,87,19.39764706,2223_2023,2023,7,2,4,10,5,B19344,,B16506/B16507,2223,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,2022,HURON,58,296,45,1,9/3/2022,2,6
22232022,35,88,19.46627907,2223_2022,2022,26,2,4,10,4,B21714,,B16501/B16504,2223,18B228-07-05,20T2336,18A0228-18L225-18-19T579-19T1264-20T2336,2022,HURON,39,297,42,1,9/4/2022,2,4
22232021,36,89,19.3954023,2223_2021,2021,9,2,4,10,3,B20538,,B15430/B16504,2223,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,2022,HURON,34,298,42,2,9/5/2022,2,5
22232020,35,88,19.46627907,2223_2020,2020,5,2,4,10,2,B20590,,B16505/B16504,2223,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,2022,HURON,15,299,43,1,9/4/2022,2,6
22232019,36,89,19.3954023,2223_2019,2019,2,2,4,10,1,B20599,,B16506/B15430,2223,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,2022,HURON,10,300,35,1,9/5/2022,2,4
22232025,37,90,19.35681818,2223_2025,2025,23,2,5,11,1,B04554,ZORRO,"B00103*/X00822, ZORRO",2223,01B008 -04-01-06,,,2022,HURON,11,301,31,2,9/6/2022,2,3
22232026,35,88,19.46627907,2223_2026,2026,8,2,5,11,2,B20597,,B16506/B15430,2223,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,2022,HURON,14,302,35,1,9/4/2022,2,4
22232027,34,87,19.39764706,2223_2027,2027,12,2,5,11,3,B20602,,B16506/B16504,2223,18B262-05-02,19-20T827,18A0262-18L258-18-19T781-19T1366-19-20T827,2022,HURON,35,303,36,1,9/3/2022,2,4
22232028,34,87,19.39764706,2223_2028,2028,10,2,5,11,4,B20549,,B16501/B16504,2223,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,2022,HURON,38,304,40,1,9/3/2022,2,5
22232029,36,89,19.3954023,2223_2029,2029,25,2,5,11,5,B21708,,B15430/B16504,2223,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,HURON,59,305,42,2,9/5/2022,2,6
